亜,あ,次位、次ぐ。亜相、亜将は大納言・近衛中少将を指す
相綺,あいいろう,干渉する・関与する
相構,あいかまえて,「構えて」を強めた語
相図,あいず,約束
朝所,あいたんどころ,太政官にあって政務を行う所＝朝政所
あか事,あかごと,火事
県召,あがためし,春の県召の除目。地方官
白地,あからさま,明白・赤裸々・かりそめ・ちょっと・しばらく
苟且,あからさま,明白・赤裸々・かりそめ・ちょっと・しばらく
白風,あきかぜ,秋風
悪客,あくかく,酒の呑めない人
幄屋,あくのや,公事の儀などに庭上に設ける仮屋、あばげり
上所,あげどころ,手紙などを差し出す相手の名あて
上分,あげぶん,年貢として上納する米
挙申,あげもうす,推挙する
吾子,あこ,小児の自称
朝更,あさぼらけ,朝、おぼろに明けてくること
浅猿,あさまし,驚嘆・興醒めする・あさましく思う
浅増,あさまし,驚嘆・興醒めする・あさましく思う
朝旦,あさまだき,夜の明けきらぬ頃、未明
足白,あししろ,足軽
汗,あせ,血の忌詞
阿党,あとう,あだ・報復・敵対すること
他言,あだごと,ほかの人にもらす事、次条をもいう
佗言,あだごと,実のないことば・かりそめの言葉・虚言
可惜,あたら,惜しくも・あったら
不能,あたわず,できない
充行,あておこなう・あてがう,所領などを与えること
宛行,あておこなう・あてがう,所領などを与えること
充文,あてぶみ,ある人にあてた文書・所領などを充行うときの文書
宛文,あてぶみ,ある人にあてた文書・所領などを充行うときの文書
充催,あてもよおす,雑事課役などを割り当て徴収すること
跡,あと,跡職の略・遺領
跡職,あとしき,家督・遺領
跡式,あとしき,家督・遺領
跡目,あとめ,家督
案内,あない,あんないの略・事物の内容・事情・公の控書・前例・先格
穴賢,あなかしこ,あなかしくと同じ・おそれ多い・書状の書止めの言葉
強,あながち,むりに・しいて
剩,あまつさえ,それに加えて
天山,あめやま,大いに・甚だ
操,あやつる,交渉する・取計らう
粗々,あらあら,ざっと・おおよそ
雑兵,あらこ,小者
荒子,あらこ,小者
有増,あらまし,概略・大方
荒猿,あらまし,概略・大方
阿良々岐,あららぎ,塔の忌詞
有若亡,ありてなきがごとし,ひどい・つまらない・意味がない
分野,ありさま,有様、僧の隠語
吐嗟,あわや,事の起きらんとするときに発する声
案主,あんじゅ・あんず,院司・家司に属した御廚別当の下役・摂関家などの政所で家事や文案・記録を掌る役
案上,あんじょう,机の上
案中,あんちゅう,期待通り・思った通り
安堵,あんど,所領等の所有権を確認してもらう事
塩梅,あんばい,身体の工合い、適当に処理すること
案文,あんもん,文書の写し
依違,いい,違犯すること
無云甲斐,いいがいなし,いうだけの価値がない・ふがいない・意気地がない
有若亡,いうじゃくぼう,生きていてもほとんど死人に同じ
莫言,いうなかれ,いうなかれ
違越,いおつ,規則をやぶり法にそむくこと
何様,いかさま,どのように・いかにも
争,いかで,どうして・いかにして
威儀,いぎ,重々しい装い、作法に適った振舞い
以下,いげ,これから下
巳下,いげ,これから下
生口,いけくち,証人
違期,いご,期限に間に合わないこと
去来々々,いざいざ,誘う詞
就地,いずち,何方
以次,いし,次の位、つぎつぎ、また「ついでをもって」とも
称唯,いしょう,字を逆読みするのは譲位と音が近い為。公事の儀式の際、貴人から呼ばれた折りの「おお」という返辞
以前,いぜん,前文をうけるとき二ヶ条以上の項目がある場合に用いる
夷則,いそく,陰暦七月の異名
巳達,いたつ,既に一流に達したこと
労敷,いたわし,ふびん・心配
一宇,いちう,全体・在家の単位
一円,いちえん,全部・総て・全体
一行,いちぎょう,所領等の命令書や許可状・お墨付き
一期,いちご,一生涯・生きている間
一事,いちじ,一つの物・一事両様は事実と関係者の申立との間に相違のある事
一途,いちず,もっぱら
一上,いちのかみ,いちのおどど、左大臣の異称
一倍,いちばい,現在の二倍
違勅,いちょく,天皇の命令に背く罪
一色,いっしき,ひといろ・一品・一式
日外,いつぞや,さきごろ
一所懸命,いっしょけんめい,必死、大事な土地
去来,いで,さぁ・いざ・実に
将々,いでいで,思い立つときの詞
糸惜,いとおしく,かわいそう
田舍九献,いなかくこん,濁り酒
忌服,いみぶく,喪に服している期間・喪中
違乱,いらん,①違法行為　②物事が乱れること
違例,いれい,①前例に反すること　②病気　＝不例
位列,いれつ,席次
綺,いろい,干渉・口論
立色,いろをたつ,叛く・怒る
所詮,いわれ,理由・由緒
無謂,いわれなし,理由がない
引級,いんきゅう,ひきあげて授ける・ひいき
殞亡,いんぼう,死亡する
雨儀,うぎ,雨天の時に行なわれる宮中の略儀式
